construct,target_symbol,target_ensg,target_col,n_perturbed_pool,n_nt_pool,y_primary,y_mean,y_std,y_p5,y_p95,y_iqr,n_valid_draws,y_pooled,y_gemgroup,n_eligible_gemgroups,stored_ad,stored_ad_log1p
10023_ZC3H18_P1P2_ENSG00000158545,ZC3H18,ENSG00000158545,6504,32,10691,3.140850377929011,3.134705665751219,0.13555575034248693,2.9081018392899396,3.331403886810496,0.17041196200008146,25,3.3153951199612623,,0,99.0,4.605170185988092
10040_ZCCHC9_P1P2_ENSG00000131732,ZCCHC9,ENSG00000131732,2401,54,10691,2.7555087408805905,2.7055243718225785,0.2254571179581621,2.3139524942612035,2.9838367856964143,0.31520166559866913,25,3.4099786391459133,,0,457.0,6.126869184114185
10041_ZCRB1_P1P2_ENSG00000139168,ZCRB1,ENSG00000139168,5028,146,10691,3.2907743634255646,3.2768125494303333,0.11104033712624753,3.134154172495341,3.4424978008624123,0.13225221212322236,25,5.019953323015739,,0,291.0,5.676753802268282
1004_C17orf58_P1P2_ENSG00000186665,C17orf58,ENSG00000186665,6931,58,10691,2.8274955410343448,2.8004536482615436,0.1649435726714323,2.540367562018642,3.057606080741998,0.1896172648842831,25,3.570127941348151,,0,3.0,1.3862943611198906
10073_ZFC3H1_P1P2_ENSG00000133858,ZFC3H1,ENSG00000133858,5185,117,10691,3.016043178757672,3.0000895374135585,0.18641595866397564,2.7329751841728984,3.2330368428958858,0.14840919846133716,25,4.445121205242762,,0,440.0,6.089044875446846
10135_ZMAT2_P2_ENSG00000146007,ZMAT2,ENSG00000146007,2529,101,10691,2.017116057817031,1.8089910383222068,0.6571470225513111,0.709886258263456,2.589548116870523,0.9321734357805944,25,3.1585603765381567,,0,2.0,1.0986122886681096
10136_ZMAT2_P1_ENSG00000146007,ZMAT2,ENSG00000146007,2529,335,10691,3.3040984435382943,3.242722508695394,0.2829483260021648,2.644736933968952,3.573784698280784,0.3803873927772341,25,5.80760987902284,2.234867684495243,10,2572.0,7.8528278122817445
10139_ZMAT5_P1P2_ENSG00000100319,ZMAT5,ENSG00000100319,8163,100,10691,1.8850890763136083,1.7012849841801918,0.44181279313576044,1.139226229373041,2.033769180163929,0.4805117181026102,25,3.0378333954532843,,0,268.0,5.594711379601839
10152_ZNF100_P1P2_ENSG00000197020,ZNF100,ENSG00000197020,7450,95,10691,2.7144312511261837,2.7193465704275837,0.06146457305424572,2.655383996683045,2.81483051060192,0.06363467399366884,25,3.980328767536369,,0,9.0,2.302585092994046
1016_C19orf25_P1P2_ENSG00000119559,C19orf25,ENSG00000119559,7190,189,10691,3.3208197164370263,3.2810095773256864,0.2498688157497099,2.811910783328596,3.669668382677757,0.2846441592843427,25,5.32878461478534,,0,20.0,3.044522437723423
10201_ZNF207_P2_ENSG00000010244,ZNF207,ENSG00000010244,6697,193,10691,1.072047597994095,1.0515230306634091,0.5520510428335902,0.25553981428118977,1.6172680635511478,0.9328159908302355,25,2.8336673967158554,,0,1.0,0.6931471805599453
10202_ZNF207_P1_ENSG00000010244,ZNF207,ENSG00000010244,6697,90,10691,3.8619265549901,3.868760028500294,0.1415699813185594,3.651440161637529,4.066640623429814,0.18232409622379864,25,5.155738239237886,,0,1200.0,7.0909098220799835
1022_C19orf53_P1P2_ENSG00000104979,C19orf53,ENSG00000104979,7365,169,10691,4.048926208718288,4.013400866608841,0.17921186753943696,3.7371419937488892,4.245214040728969,0.2491740607167774,25,5.927965580771011,,0,3.0,1.3862943611198906
10236_ZNF24_P1P2_ENSG00000172466,ZNF24,ENSG00000172466,7106,59,10691,2.768613518984973,2.7498055900545277,0.2790739862083652,2.1912342213763902,3.132087695245601,0.36148995010062945,25,3.616956196407566,,0,1.0,0.6931471805599453
10280_ZNF317_P1P2_ENSG00000130803,ZNF317,ENSG00000130803,7288,132,10691,1.6593179761859818,1.3159805728293568,0.4975672457723627,0.5872962708807048,1.7621325606151643,0.8533629420525759,25,3.0313374780216313,,0,29.0,3.4011973816621555
10297_ZNF335_P1P2_ENSG00000198026,ZNF335,ENSG00000198026,7904,146,10691,0.5743407063922951,0.6467215843552299,0.5789234178253952,0.0,1.4857434724011813,1.2150167562945988,25,2.1842628879228645,,0,99.0,4.605170185988092
1029_C1D_P1P2_ENSG00000197223,C1D,ENSG00000197223,1067,160,10691,3.529869973530897,3.5361968157955714,0.13591672967612428,3.311995313162933,3.7281629661864333,0.19690285495144177,25,5.401045756129314,,0,37.0,3.6375861597263857
1032_C1QBP_P1P2_ENSG00000108561,C1QBP,ENSG00000108561,6577,210,10691,4.433889245289884,4.402457575030302,0.11148786634870936,4.253883867333229,4.5699735318457595,0.17793437692361636,25,6.537134901629109,,0,478.0,6.171700597410915
1035_C1orf109_P1_ENSG00000116922,C1orf109,ENSG00000116922,234,63,10691,3.043301301799878,3.049246553682755,0.18163763876162967,2.766735941600983,3.3296719036384705,0.2581657134745705,25,3.9210090457328293,,0,1.0,0.6931471805599453
1036_C1orf109_P2_ENSG00000116922,C1orf109,ENSG00000116922,234,177,10691,0.0,0.15385030418392748,0.4574866437648998,0.0,1.028858417638993,0.0,25,0.0,,0,4.0,1.6094379124341003
10380_ZNF468_P1P2_ENSG00000204604,ZNF468,ENSG00000204604,7680,207,10691,1.3136516724969214,1.043665336939311,0.5159478442430971,0.0,1.5354048903791098,0.7043523820073554,25,3.248048111739562,,0,0.0,0.0
