construct,target_symbol,target_ensg,target_col,n_perturbed_pool,n_nt_pool,y_primary,y_mean,y_std,y_p5,y_p95,y_iqr,n_valid_draws,y_pooled,y_gemgroup,n_eligible_gemgroups,stored_ad,stored_ad_log1p
10005_ZBTB4_P1_ENSG00000174282,ZBTB4,ENSG00000174282,6891,40,11485,0.04371670013813544,0.2808767671892822,0.3473819881254321,0.0,0.7844868537181854,0.6285190170835847,25,0.0,,0,267.0,5.5909869805108565
10020_ZC3H13_P1P2_ENSG00000123200,ZC3H13,ENSG00000123200,5758,112,11485,3.4916583227029796,3.4960082663642953,0.1891787402572046,3.157305201105115,3.765225986441347,0.29931612830270016,25,4.949573357903885,,0,3708.0,8.21851757748959
10023_ZC3H18_P1P2_ENSG00000158545,ZC3H18,ENSG00000158545,6799,66,11485,2.617337587710359,2.6124816879176627,0.2978928327812361,2.173181077567229,2.999115070365236,0.4436493578359584,25,3.5358963178970857,,0,1546.0,7.344072850573066
10025_ZC3H4_P1_ENSG00000130749,ZC3H4,ENSG00000130749,7861,71,11485,1.5196275482554984,1.5126525792069503,0.38336897103958334,0.8900724434963048,1.978581843678295,0.6885726046956431,25,2.587964063551169,,0,607.0,6.410174881966167
10041_ZCRB1_P1P2_ENSG00000139168,ZCRB1,ENSG00000139168,5305,81,11485,3.748098513392124,3.745681468507117,0.09290006869300933,3.59637030211115,3.867550501231785,0.13482232716891218,25,4.875999000403979,,0,502.0,6.220590170099739
1004_C17orf58_P1P2_ENSG00000186665,C17orf58,ENSG00000186665,7218,189,11485,1.708037589884098,1.7183540356751725,0.11330720662042977,1.5704069720834528,1.8851017688838714,0.20888894435534122,25,3.7271943652237725,,0,16.0,2.833213344056216
10054_ZDHHC7_P1P2_ENSG00000153786,ZDHHC7,ENSG00000153786,6785,108,11485,1.9655368732167173,1.9500376518512155,0.3515738880195278,1.2957932369871406,2.451052966635665,0.4105211225393912,25,3.4183734532606826,,0,107.0,4.68213122712422
10055_ZDHHC7_P1P2_ENSG00000153786,ZDHHC7,ENSG00000153786,6785,120,11485,2.170200944421504,2.1861514130922686,0.1877022374449653,1.8939486403414676,2.4478426048101434,0.20929196810728135,25,3.7150196433044957,,0,1.0,0.6931471805599453
10056_ZDHHC7_P1P2_ENSG00000153786,ZDHHC7,ENSG00000153786,6785,177,11485,2.077666358658697,2.1035258072756107,0.34754839481533445,1.5335481335548697,2.5109508766857926,0.5847815971471635,25,4.0405415788824675,,0,2228.0,7.709308333385869
10073_ZFC3H1_P1P2_ENSG00000133858,ZFC3H1,ENSG00000133858,5470,85,11485,2.728112494403016,2.7759897068285433,0.10968319608435988,2.6529677436563177,2.953567373250132,0.14420797310597422,25,3.95097358688485,,0,262.0,5.572154032177765
10104_ZFR_P1P2_ENSG00000056097,ZFR,ENSG00000056097,2379,130,11485,3.299909309729588,3.3165245324696495,0.17068120308434093,3.051018726454179,3.5835806405988366,0.23602274498837872,25,4.963411479586451,,0,653.0,6.483107351457199
10135_ZMAT2_P2_ENSG00000146007,ZMAT2,ENSG00000146007,2650,31,11485,2.5210285767008314,2.487103125884389,0.16169021727582727,2.2181051913245073,2.674905613324319,0.20770699048830288,25,2.6420260546364007,,0,33.0,3.5263605246161616
10136_ZMAT2_P1_ENSG00000146007,ZMAT2,ENSG00000146007,2650,183,11485,3.1073130300663374,3.0561814125300066,0.23972581023010892,2.552620105030828,3.3404677796239413,0.2790584328925201,25,4.915698412058615,,0,3397.0,8.130942302231878
10139_ZMAT5_P1P2_ENSG00000100319,ZMAT5,ENSG00000100319,8339,50,11485,2.0468990194006924,2.0554848644974726,0.08355446966900017,1.911005168965419,2.2069661587360043,0.07148726730421595,25,2.684753589290649,,0,745.0,6.61472560020376
10146_ZMYM4_P1P2_ENSG00000146463,ZMYM4,ENSG00000146463,208,83,11485,3.121547214672922,3.1100053621301784,0.11584207929914324,2.906209978764869,3.249576084467237,0.14294337165960425,25,4.253568570622016,,0,19.0,2.995732273553991
1016_C19orf25_P1P2_ENSG00000119559,C19orf25,ENSG00000119559,7486,53,11485,2.7525754652861067,2.7055452715834667,0.18383352750103973,2.3596157863283493,2.924828094916645,0.30006597219066,25,3.4134838846591524,,0,63.0,4.1588830833596715
10173_ZNF143_P1P2_ENSG00000166478,ZNF143,ENSG00000166478,4740,32,11485,1.409111087606031,1.4236445979022798,0.117570710878321,1.2531929824381642,1.6172556526718718,0.10412832928393345,25,1.7111315627585593,,0,1340.0,7.201170883281678
10201_ZNF207_P2_ENSG00000010244,ZNF207,ENSG00000010244,7000,64,11485,0.0,0.3642576754283401,0.4947423779094728,0.0,1.2162326398716599,0.7572740327748668,25,1.1510061087413401,,0,1.0,0.6931471805599453
10202_ZNF207_P1_ENSG00000010244,ZNF207,ENSG00000010244,7000,70,11485,3.5946977901606134,3.615575922572182,0.15512811157992432,3.366203831853097,3.8798226558652305,0.16667188403354238,25,4.588994968900359,,0,2256.0,7.721791776817535
10231_ZNF236_P1P2_ENSG00000130856,ZNF236,ENSG00000130856,7452,102,11485,1.3533680414544338,1.238801855843826,0.31126564325813505,0.6525509620748982,1.5395310742803225,0.189205854769684,25,2.6171339239921707,,0,1736.0,7.459914766241105
10236_ZNF24_P1P2_ENSG00000172466,ZNF24,ENSG00000172466,7385,49,11485,2.5121831279094615,2.5409549152384137,0.12462414343779853,2.3953209803789868,2.718931335493254,0.21835695795282772,25,3.1736325898719744,,0,0.0,0.0
10272_ZNF292_P1P2_ENSG00000188994,ZNF292,ENSG00000188994,3051,133,11485,3.2043555646306476,3.22711757423102,0.10646490786492273,3.081034978331974,3.3726498673698044,0.15402019325645844,25,4.811933552869273,,0,356.0,5.877735781779639
1029_C1D_P1P2_ENSG00000197223,C1D,ENSG00000197223,1057,53,11485,3.1548284209615125,3.1492782034687985,0.12210448436074786,2.963014186117784,3.296880318622768,0.19638804664070042,25,3.8099803348173715,,0,613.0,6.419994928147142
10336_ZNF407_ENST00000299687.5_ENSG00000215421,ZNF407,ENSG00000215421,7450,64,11485,0.0,0.2866533758161238,0.5614869792124568,0.0,1.5727481386760709,0.0,25,0.0,,0,0.0,0.0
1035_C1orf109_P1_ENSG00000116922,C1orf109,ENSG00000116922,229,76,11485,1.708037589884098,1.6050405152022988,0.25213961545760266,1.1882104323674871,1.8965214123481473,0.3962206494770195,25,2.7952405916782563,,0,1.0,0.6931471805599453
1036_C1orf109_P2_ENSG00000116922,C1orf109,ENSG00000116922,229,138,11485,0.0,0.2604908606181433,0.4588899269559298,0.0,1.270684566796367,0.352844055256793,25,1.3934622042385667,,0,1.0,0.6931471805599453
