probe_input,component,selected_alpha,tie_applied,tied_alphas,validation_r2_repeat_1,validation_r2_repeat_2,validation_r2_repeat_3,mean_validation_r2,sd_validation_r2_ddof1,status
z,mean_abs_x,1.0,FALSE,1,0.5668081332851156,0.5668081332851156,0.5668081332851156,0.5668081332851156,0.0,OK
z,l2_norm_x,0.001,FALSE,0.001,0.5971797420174334,0.5971797420174334,0.5971797420174334,0.5971797420174334,0.0,OK
z,max_abs_x,1000.0,FALSE,1000,-0.09210719041707982,-0.09210719041707982,-0.09210719041707982,-0.09210719041707982,0.0,OK
z,std_x,0.001,FALSE,0.001,0.5921200909218716,0.5921200909218716,0.5921200909218716,0.5921200909218716,0.0,OK
ceiling_x,mean_abs_x,1000.0,FALSE,1000,0.5903074132511139,0.5903074132511139,0.5903074132511139,0.5903074132511139,0.0,OK
ceiling_x,l2_norm_x,1000.0,FALSE,1000,0.6114327202510633,0.6114327202510633,0.6114327202510633,0.6114327202510633,0.0,OK
ceiling_x,max_abs_x,1000.0,FALSE,1000,-0.16483428311366155,-0.16483428311366155,-0.16483428311366155,-0.16483428311366155,0.0,OK
ceiling_x,std_x,1000.0,FALSE,1000,0.6085596406961602,0.6085596406961602,0.6085596406961602,0.6085596406961602,0.0,OK
C2,mean_abs_x,1000.0,FALSE,1000,0.6341892895501562,0.6341892895501562,0.6341892895501562,0.6341892895501562,0.0,OK
C2,l2_norm_x,1000.0,FALSE,1000,0.6547191257918434,0.6547191257918434,0.6547191257918434,0.6547191257918434,0.0,OK
C2,max_abs_x,1000.0,FALSE,1000,-0.19635696625440424,-0.19635696625440424,-0.19635696625440424,-0.19635696625440424,0.0,OK
C2,std_x,1000.0,FALSE,1000,0.651957494439023,0.651957494439023,0.651957494439023,0.651957494439023,0.0,OK
C3,mean_abs_x,1000.0,FALSE,1000,-0.04139950101268286,-0.04139950101268286,-0.04139950101268286,-0.04139950101268286,0.0,OK
C3,l2_norm_x,1000.0,FALSE,1000,-0.03769662231878024,-0.03769662231878024,-0.03769662231878024,-0.03769662231878024,0.0,OK
C3,max_abs_x,1000.0,FALSE,1000,-0.05284302541125774,-0.05284302541125774,-0.05284302541125774,-0.05284302541125774,0.0,OK
C3,std_x,1000.0,FALSE,1000,-0.03817150818253512,-0.03817150818253512,-0.03817150818253512,-0.03817150818253512,0.0,OK
