cell_id,orig_obs_idx,role,gene_transcript
k562_31,31,nt,NT_POOL
k562_63,63,nt,NT_POOL
k562_111,111,nt,NT_POOL
k562_115,115,perturbed,1032_C1QBP_P1P2_ENSG00000108561
k562_117,117,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_154,154,perturbed,10040_ZCCHC9_P1P2_ENSG00000131732
k562_157,157,nt,NT_POOL
k562_202,202,nt,NT_POOL
k562_303,303,perturbed,1022_C19orf53_P1P2_ENSG00000104979
k562_354,354,nt,NT_POOL
k562_423,423,nt,NT_POOL
k562_544,544,nt,NT_POOL
k562_644,644,perturbed,1032_C1QBP_P1P2_ENSG00000108561
k562_655,655,nt,NT_POOL
k562_699,699,nt,NT_POOL
k562_803,803,nt,NT_POOL
k562_832,832,nt,NT_POOL
k562_900,900,perturbed,10236_ZNF24_P1P2_ENSG00000172466
k562_976,976,perturbed,10280_ZNF317_P1P2_ENSG00000130803
k562_984,984,nt,NT_POOL
k562_1003,1003,perturbed,10152_ZNF100_P1P2_ENSG00000197020
k562_1040,1040,nt,NT_POOL
k562_1164,1164,nt,NT_POOL
k562_1247,1247,perturbed,1004_C17orf58_P1P2_ENSG00000186665
k562_1381,1381,nt,NT_POOL
k562_1386,1386,perturbed,10297_ZNF335_P1P2_ENSG00000198026
k562_1477,1477,nt,NT_POOL
k562_1512,1512,perturbed,1016_C19orf25_P1P2_ENSG00000119559
k562_1575,1575,nt,NT_POOL
k562_1684,1684,nt,NT_POOL
k562_1739,1739,perturbed,10139_ZMAT5_P1P2_ENSG00000100319
k562_1819,1819,nt,NT_POOL
k562_1899,1899,perturbed,1022_C19orf53_P1P2_ENSG00000104979
k562_1910,1910,nt,NT_POOL
k562_2004,2004,nt,NT_POOL
k562_2044,2044,nt,NT_POOL
k562_2081,2081,nt,NT_POOL
k562_2188,2188,perturbed,10041_ZCRB1_P1P2_ENSG00000139168
k562_2202,2202,nt,NT_POOL
k562_2297,2297,nt,NT_POOL
k562_2328,2328,nt,NT_POOL
k562_2461,2461,nt,NT_POOL
k562_2498,2498,perturbed,1022_C19orf53_P1P2_ENSG00000104979
k562_2535,2535,perturbed,1032_C1QBP_P1P2_ENSG00000108561
k562_2572,2572,nt,NT_POOL
k562_2579,2579,perturbed,10041_ZCRB1_P1P2_ENSG00000139168
k562_2663,2663,perturbed,10139_ZMAT5_P1P2_ENSG00000100319
k562_2664,2664,nt,NT_POOL
k562_2778,2778,perturbed,1029_C1D_P1P2_ENSG00000197223
k562_2815,2815,nt,NT_POOL
k562_2903,2903,nt,NT_POOL
k562_2938,2938,perturbed,1022_C19orf53_P1P2_ENSG00000104979
k562_2958,2958,perturbed,10201_ZNF207_P2_ENSG00000010244
k562_3006,3006,nt,NT_POOL
k562_3033,3033,perturbed,1016_C19orf25_P1P2_ENSG00000119559
k562_3065,3065,nt,NT_POOL
k562_3139,3139,nt,NT_POOL
k562_3171,3171,nt,NT_POOL
k562_3289,3289,perturbed,1022_C19orf53_P1P2_ENSG00000104979
k562_3317,3317,nt,NT_POOL
k562_3325,3325,perturbed,10023_ZC3H18_P1P2_ENSG00000158545
k562_3366,3366,nt,NT_POOL
k562_3394,3394,perturbed,10023_ZC3H18_P1P2_ENSG00000158545
k562_3449,3449,perturbed,1022_C19orf53_P1P2_ENSG00000104979
k562_3457,3457,nt,NT_POOL
k562_3547,3547,perturbed,1036_C1orf109_P2_ENSG00000116922
k562_3562,3562,perturbed,10201_ZNF207_P2_ENSG00000010244
k562_3587,3587,nt,NT_POOL
k562_3663,3663,nt,NT_POOL
k562_3703,3703,nt,NT_POOL
k562_3719,3719,perturbed,1029_C1D_P1P2_ENSG00000197223
k562_3795,3795,nt,NT_POOL
k562_3848,3848,nt,NT_POOL
k562_3883,3883,nt,NT_POOL
k562_3965,3965,perturbed,10152_ZNF100_P1P2_ENSG00000197020
k562_4031,4031,perturbed,10073_ZFC3H1_P1P2_ENSG00000133858
k562_4060,4060,perturbed,10041_ZCRB1_P1P2_ENSG00000139168
k562_4072,4072,nt,NT_POOL
k562_4131,4131,nt,NT_POOL
k562_4203,4203,perturbed,10139_ZMAT5_P1P2_ENSG00000100319
k562_4238,4238,perturbed,1029_C1D_P1P2_ENSG00000197223
k562_4264,4264,nt,NT_POOL
k562_4417,4417,nt,NT_POOL
k562_4438,4438,nt,NT_POOL
k562_4501,4501,nt,NT_POOL
k562_4525,4525,perturbed,10040_ZCCHC9_P1P2_ENSG00000131732
k562_4526,4526,nt,NT_POOL
k562_4547,4547,perturbed,1022_C19orf53_P1P2_ENSG00000104979
k562_4597,4597,perturbed,10201_ZNF207_P2_ENSG00000010244
k562_4672,4672,nt,NT_POOL
